Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
217.9.237.128/28;217.9.224.0 - 217.9.239.255;ALLOCATED PA;BG-MTELNET-20000807;;217.9.232.0/21;IBGC;AS13124
92.247.228.192/27;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.224.80/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.195.192/27;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.14.32/28;92.247.8.0 - 92.247.15.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.0.0/20;Spectrum NET PA space;AS8717
92.247.26.80/28;92.247.24.0 - 92.247.31.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.16.0/20;Mobiltel EAD PA space;AS8717
92.247.180.240/28;92.247.180.0 - 92.247.180.255;ASSIGNED PA;A1-180-I;;92.247.176.0/21;Spnet;AS8717
213.222.38.128/25;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19,213.222.32.0/19;Orbitel customer and internal;AS8672,AS8717
212.50.4.128/28;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
212.91.189.80/28;212.91.160.0 - 212.91.191.255;ALLOCATED PA;BG-MTELNET-990730;;212.91.160.0/19;Spectrum NET PA space;AS8717
212.36.30.32/28;212.36.28.0 - 212.36.31.255;ASSIGNED PA;SPNET;Varna, Bulgaria;212.36.0.0/19;Spectrum NET PA space;AS8717
212.36.4.128/28;212.36.4.0 - 212.36.4.255;ASSIGNED PA;SPNET;Techno-Link (tm);212.36.4.0/24;Spectrum NET,BG-ONLY NETS;AS8717
213.222.58.144/28;213.222.58.144 - 213.222.58.159;ASSIGNED PA;ORBITEL-PERNIK-1;Orbitel Inc,Pernik;213.222.58.0/24;Orbitel;AS8672
212.95.165.176/28;212.95.165.144 - 212.95.165.191;ASSIGNED PA;ORBITEL-SOF-PPP;PPP customers in Sofia;212.95.164.0/22;Orbitel;AS8672
92.247.254.96/28;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.244.32/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
212.50.19.48/28;212.50.19.0 - 212.50.19.127;ASSIGNED PA;PERNIK-BG;Spectrum Net - Pernik;212.50.0.0/19;Spectrum NET PA space;AS8717
217.9.231.64/27;217.9.231.64 - 217.9.231.95;ASSIGNED PA;BFES;Vitosha, 32B,Sofia, Bulgaria;217.9.224.0/21;IBGC;AS13124
212.36.29.176/28;212.36.28.0 - 212.36.31.255;ASSIGNED PA;SPNET;Varna, Bulgaria;212.36.0.0/19;Spectrum NET PA space;AS8717
212.91.161.96/28;212.91.161.0 - 212.91.161.255;ASSIGNED PA;SPNET;Spectrum NET VPN's;212.91.161.0/24;Spectrum NET,BG-ONLY NETS;AS8717
92.247.200.176/28;92.247.200.0 - 92.247.203.255;ASSIGNED PA;GPON-SofiaSouth;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.38.48/28;92.247.32.0 - 92.247.39.255;ASSIGNED PA;SPNET-PON-OK-1;PON Services;92.247.32.0/19;Spectrum NET PA space;AS29580
92.247.197.176/28;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.243.224/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
212.36.12.208/28;212.36.12.0 - 212.36.12.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.0.0/19;Spectrum NET PA space;AS8717
92.247.193.32/27;92.247.192.0 - 92.247.199.255;ASSIGNED PA;GPON-SofiaEast;GPON Services;92.247.192.0/18;SPNET;AS29580
212.104.111.240/28;212.104.96.0 - 212.104.127.255;ALLOCATED PA;BG-MTELNET-20030709;;212.104.96.0/20;Evrocom Cable Management Bulgaria Ltd.;AS13124
212.95.165.224/27;212.95.165.224 - 212.95.165.255;ASSIGNED PA;AKAMAI-ORBITEL-SF-1;Akamai Colocation,1 Macedonia Sq, floor 21, 1000 Sofia;212.95.164.0/22;Orbitel;AS8672
212.36.20.128/27;212.36.20.0 - 212.36.20.255;ASSIGNED PA;TECHNOLINK;Techno-Link (tm);212.36.20.0/24;;AS8717
92.247.36.192/28;92.247.32.0 - 92.247.39.255;ASSIGNED PA;SPNET-PON-OK-1;PON Services;92.247.32.0/19;Spectrum NET PA space;AS29580
195.149.248.32/27;195.149.248.0 - 195.149.255.255;ASSIGNED PI;HOMELAN;;195.149.248.0/21;HomeLan Ltd;AS8717
92.247.200.32/28;92.247.200.0 - 92.247.203.255;ASSIGNED PA;GPON-SofiaSouth;GPON Services;92.247.192.0/18;SPNET;AS29580
213.222.37.192/28;213.222.32.0 - 213.222.63.255;ALLOCATED PA;BG-MTELNET-20011206;;213.222.32.0/19,213.222.32.0/19;Orbitel customer and internal;AS8672,AS8717
195.24.39.176/28;195.24.39.144 - 195.24.39.223;ASSIGNED PA;ORBITEL-SOF-POP;point-to-point links,Sofia;195.24.32.0/19,195.24.32.0/19;Orbitel customer and internal;AS8672,AS8717
213.169.38.208/28;213.169.38.0 - 213.169.44.255;ASSIGNED PA;SPNET-PPPOE-POOLS;Spectrum NET Ltd.;213.169.38.0/24;PPPOE;AS29580
92.247.224.224/27;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.27.96/28;92.247.24.0 - 92.247.31.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.16.0/20;Mobiltel EAD PA space;AS8717
195.34.111.160/28;195.34.111.0 - 195.34.111.255;ASSIGNED PA;BIT-INC-VOIP;Bulgarian Information Technologies Inc.;195.34.96.0/19;Spectrum NET PA space;AS8717
92.247.26.48/28;92.247.24.0 - 92.247.31.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.16.0/20;Mobiltel EAD PA space;AS8717
92.247.25.0/27;92.247.24.0 - 92.247.31.255;ASSIGNED PA;SPNET;Spectrum Net Sofia;92.247.16.0/20;Mobiltel EAD PA space;AS8717
217.9.231.128/27;217.9.231.128 - 217.9.231.191;ASSIGNED PA;A1BG-corporate;A1 Bulgaria EAD,Sofia, Bulgaria,Corporate customers;217.9.224.0/21;IBGC;AS13124
92.247.228.80/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.253.32/27;92.247.240.0 - 92.247.255.255;ASSIGNED PA;SPECTRUMNET;Broadband Services;92.247.192.0/18;SPNET;AS29580
92.247.141.208/28;92.247.140.0 - 92.247.143.255;ASSIGNED PA;SPNET;Spectrum Net Infrastructure;92.247.128.0/18;Spectrum NET PA space;AS8717
195.24.63.208/28;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
92.247.229.208/28;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
212.50.4.112/28;212.50.4.0 - 212.50.4.255;ASSIGNED PA;SPNET;Spectrum Net infrastructure VPN;212.50.4.0/24;SPNET specific announce;AS8717
217.9.239.48/28;217.9.224.0 - 217.9.239.255;ALLOCATED PA;BG-MTELNET-20000807;;217.9.232.0/21;IBGC;AS13124
195.24.39.224/27;195.24.39.224 - 195.24.39.255;ASSIGNED PA;MLSYSTEMS-1;ML Systems EOOD,27, Korab Planina str., BG-1407 Sofia;195.24.32.0/19,195.24.32.0/19;Orbitel customer and internal;AS8672,AS8717
195.24.63.224/27;195.24.63.0 - 195.24.63.255;ASSIGNED PA;ORBITEL-VARNA-1;Orbitel Varna POP,Bulgaria;195.24.60.0/22;Orbitel;AS8672
92.247.229.160/27;92.247.224.0 - 92.247.231.255;ASSIGNED PA;GPON-SofiaCenter;GPON Services;92.247.192.0/18;SPNET;AS29580
92.247.219.0/26;92.247.216.0 - 92.247.223.255;ASSIGNED PA;GPON-SofiaNorth;GPON Services;92.247.192.0/18;SPNET;AS29580
195.24.59.48/28;195.24.59.0 - 195.24.59.255;ASSIGNED PA;MTELNET;PPPoE Targovishte i Rus;195.24.59.0/24;PPPoE Targovishte i Ruse;AS29580
77.236.168.64/26;77.236.168.0 - 77.236.168.255;ASSIGNED PA;A1-168;A1 Bulgaria EAD,A1 Stara Zagora;77.236.168.0/24;Blizoo Docsys SZ;AS13124
217.9.227.0/28;217.9.224.0 - 217.9.239.255;ALLOCATED PA;BG-MTELNET-20000807;;217.9.227.0/24;Sofia, Bulgaria,A1 BG,Multiple /30 Allocations;AS13124
