Network;inetnum;status;netname;descr;route-obj;route-descr;route-origin
213.226.32.0/23;213.226.0.0 - 213.226.63.255;ALLOCATED PA;BG-MTELNET-990920;;213.226.32.0/20,213.226.32.0/20;MTEL INET Services,MTEL INET Services;AS12716,AS8717
217.10.253.0/24;217.10.253.0 - 217.10.253.255;assigned pa;WITmind;WITmind;217.10.253.0/24;WITmind;AS42100
85.118.89.0/24;85.118.89.0 - 85.118.89.255;ASSIGNED PA;MTEL-ITCE-NET;ITCE Ltd;85.118.89.0/24,85.118.89.0/24;ITCE Ltd,ITCE Ltd;AS12716,AS8717
212.50.16.0/24;212.50.16.0 - 212.50.16.255;ASSIGNED PA;SPNET;Spectrum Net - Sofia,Lan Clients;212.50.0.0/19;Spectrum NET PA space;AS8717
80.253.55.0/24;80.253.48.0 - 80.253.55.255;ASSIGNED PA;A1-CORE;A1 Bulgaria EAD,A1 Stara Zagora;80.253.55.0/24;A1 BG;AS13124
151.251.224.0/20;151.251.0.0 - 151.251.255.255;ALLOCATED PA;BG-MTELNET-20120821;;151.251.0.0/16;A1 Bulgaria EAD;AS13124
46.232.152.0/21;46.232.152.0 - 46.232.159.255;ALLOCATED PA;BG-MTELNET-20110216;;46.232.152.0/21;A1 Bulgaria EAD;AS13124
213.226.61.0/24;213.226.0.0 - 213.226.63.255;ALLOCATED PA;BG-MTELNET-990920;;213.226.61.0/24,213.226.61.0/24;Mobiltel EAD.,A1 Bulgaria EAD.;AS12716,AS8717
92.247.208.0/24;92.247.208.0 - 92.247.208.255;ASSIGNED PA;GPON-SofiaWest;;92.247.208.0/24;;AS29580
95.111.91.0/24;95.111.91.0 - 95.111.91.255;ASSIGNED PA;ImperiaOnline-BG;Imperia Online Ltd.;95.111.91.0/24;Imperia Online Ltd.;AS199011
95.111.85.0/24;95.111.80.0 - 95.111.87.255;ASSIGNED PA;MOTOPISTA-SOF;Motopista quarter,Megalan Network Real IP address space;95.111.85.0/24;A1-BG-DDoS;AS8717
